Advertiser,Industry,CPC,CTR,Conversion Rate,Estimated Spend (INR),Estimated Reach,ROAS,Note
GestireImpresa,Software Development,80.0,0.9,3.5,2247.84,3122,13.12,
GestireImpresa,Software Development,80.0,0.9,3.5,44956.8,62440,13.12,Low confidence (0.24) - Manual review needed
100078813788197,Travel & Hospitality,57.0,1.3,3.8,24786.45,33450,12.0,
Deltaarezzo,B2B SaaS,151.2,0.78,2.8,32874.66,27875,11.11,Low confidence (0.14) - Manual review needed
61560567149829,B2B SaaS,151.2,0.78,2.8,5259.95,4460,11.11,Low confidence (0.17) - Manual review needed
61556808243821,Freelance Software Development,100.0,0.85,3.2,6950.17,8176.67,11.52,Low confidence (0.10) - Manual review needed
MasterItSolution168,Freelance Software Development,100.0,0.85,3.2,7108.13,8362.5,11.52,Low confidence (0.10) - Manual review needed
tirolerjobs,Software Development,80.0,0.9,3.5,8028.0,11150,13.13,
61573952136091,Healthcare,79.2,0.98,3.5,6923.35,8920,2.92,Low confidence (0.17) - Manual review needed
openuniversiteit,Education,66.0,0.85,3.0,3127.58,5575,5.45,Low confidence (0.16) - Manual review needed
openuniversiteit,Education,66.0,0.85,3.0,1251.03,2230,5.45,Low confidence (0.29) - Manual review needed
openuniversiteit,Software Development,80.0,0.9,3.5,4014.0,5575,13.13,Low confidence (0.16) - Manual review needed
openuniversiteit,Education,66.0,0.85,3.0,3127.58,5575,5.45,
hr.software.vergleich,Digital Marketing Services,120.0,1.0,3.5,5352.0,4460,8.75,Low confidence (0.20) - Manual review needed
