Ad Index,Advertiser,Ad Text,Ad Link,Page ID,Active Time,Error,Raw HTML
1,odintconsultingservices,,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Started running on 27 May 2025,Incomplete data,N/A
2,odintconsultingservices,,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Started running on 27 May 2025,Incomplete data,N/A
3,odintconsultingservices,,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Started running on 27 May 2025,Incomplete data,N/A
4,odintconsultingservices,,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Started running on 27 May 2025,Incomplete data,N/A
5,odintconsultingservices,,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Started running on 27 May 2025,Incomplete data,N/A
6,odintconsultingservices,,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Started running on 27 May 2025,Incomplete data,N/A
7,odintconsultingservices,,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Started running on 27 May 2025,Incomplete data,N/A
8,odintconsultingservices,,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Started running on 27 May 2025,Incomplete data,N/A
9,odintconsultingservices,,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Started running on 27 May 2025,Incomplete data,N/A
10,odintconsultingservices,,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Started running on 27 May 2025,Incomplete data,N/A
11,odintconsultingservices,,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Started running on 27 May 2025,Incomplete data,N/A
22,odintconsultingservices,...,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Unknown,Incomplete data,N/A
23,odintconsultingservices,...,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Unknown,Incomplete data,N/A
24,odintconsultingservices,...,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Unknown,Incomplete data,N/A
25,odintconsultingservices,...,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Unknown,Incomplete data,N/A
26,odintconsultingservices,...,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Unknown,Incomplete data,N/A
27,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
28,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
29,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
35,odintconsultingservices,...,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Unknown,Incomplete data,N/A
36,odintconsultingservices,...,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Unknown,Incomplete data,N/A
37,odintconsultingservices,...,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Unknown,Incomplete data,N/A
38,odintconsultingservices,...,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Unknown,Incomplete data,N/A
39,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
40,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
41,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
47,odintconsultingservices,...,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Unknown,Incomplete data,N/A
48,odintconsultingservices,...,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Unknown,Incomplete data,N/A
49,odintconsultingservices,...,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Unknown,Incomplete data,N/A
50,odintconsultingservices,...,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Unknown,Incomplete data,N/A
51,odintconsultingservices,...,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Unknown,Incomplete data,N/A
52,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
53,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
54,Unknown Advertiser,...,,N/A,Unknown,Incomplete data,N/A
60,odintconsultingservices,...,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Unknown,Incomplete data,N/A
61,odintconsultingservices,...,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Unknown,Incomplete data,N/A
62,odintconsultingservices,...,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Unknown,Incomplete data,N/A
63,odintconsultingservices,...,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Unknown,Incomplete data,N/A
64,odintconsultingservices,...,https://www.facebook.com/odintconsultingservices/,odintconsultingservices,Unknown,Incomplete data,N/A
